commodity_code,period_name,effective_start,effective_end,coverage_min,coverage_max,subsidy_old,subsidy_new
801,baseline_pre2019,1900-01-01,2019-06-30,0.7,0.8,0.13,0.13
801,baseline_pre2019,1900-01-01,2019-06-30,0.8,0.85,0.13,0.13
801,baseline_pre2019,1900-01-01,2019-06-30,0.85,0.9,0.13,0.13
801,baseline_pre2019,1900-01-01,2019-06-30,0.9,0.95,0.13,0.13
801,baseline_pre2019,1900-01-01,2019-06-30,0.95,1.0001,0.13,0.13
801,pm19_coverage_dependent,2019-07-01,2020-06-30,0.7,0.8,0.13,0.35
801,pm19_coverage_dependent,2019-07-01,2020-06-30,0.8,0.85,0.13,0.35
801,pm19_coverage_dependent,2019-07-01,2020-06-30,0.85,0.9,0.13,0.30
801,pm19_coverage_dependent,2019-07-01,2020-06-30,0.9,0.95,0.13,0.25
801,pm19_coverage_dependent,2019-07-01,2020-06-30,0.95,1.0001,0.13,0.20
801,pm20_coverage_expansion,2020-07-01,2099-12-31,0.7,0.8,0.35,0.55
801,pm20_coverage_expansion,2020-07-01,2099-12-31,0.8,0.85,0.35,0.50
801,pm20_coverage_expansion,2020-07-01,2099-12-31,0.85,0.9,0.30,0.45
801,pm20_coverage_expansion,2020-07-01,2099-12-31,0.9,0.95,0.25,0.40
801,pm20_coverage_expansion,2020-07-01,2099-12-31,0.95,1.0001,0.20,0.35
802,baseline_pre2019,1900-01-01,2019-06-30,0.7,0.8,0.13,0.13
802,baseline_pre2019,1900-01-01,2019-06-30,0.8,0.85,0.13,0.13
802,baseline_pre2019,1900-01-01,2019-06-30,0.85,0.9,0.13,0.13
802,baseline_pre2019,1900-01-01,2019-06-30,0.9,0.95,0.13,0.13
802,baseline_pre2019,1900-01-01,2019-06-30,0.95,1.0001,0.13,0.13
802,pm19_coverage_dependent,2019-07-01,2020-06-30,0.7,0.8,0.13,0.35
802,pm19_coverage_dependent,2019-07-01,2020-06-30,0.8,0.85,0.13,0.35
802,pm19_coverage_dependent,2019-07-01,2020-06-30,0.85,0.9,0.13,0.30
802,pm19_coverage_dependent,2019-07-01,2020-06-30,0.9,0.95,0.13,0.25
802,pm19_coverage_dependent,2019-07-01,2020-06-30,0.95,1.0001,0.13,0.20
802,pm20_coverage_expansion,2020-07-01,2099-12-31,0.7,0.8,0.35,0.55
802,pm20_coverage_expansion,2020-07-01,2099-12-31,0.8,0.85,0.35,0.50
802,pm20_coverage_expansion,2020-07-01,2099-12-31,0.85,0.9,0.30,0.45
802,pm20_coverage_expansion,2020-07-01,2099-12-31,0.9,0.95,0.25,0.40
802,pm20_coverage_expansion,2020-07-01,2099-12-31,0.95,1.0001,0.20,0.35
