endorsement_id_full,policy_effective_date,cattle_type,cov_level_pct,coverage_bin,subsidy_amt,total_prem_amt,prod_prem_amt,observed_rate,statutory_rate,rate_gap
8,2005-05-02,feeder,0.9334,b90_94,4,26,22,0.153846153846154,0.13,0.0238461538461539
26,2005-06-02,feeder,0.9181,b90_94,4,28,24,0.142857142857143,0.13,0.0128571428571428
357,2005-03-07,feeder,0.9378,b90_94,2,18,16,0.111111111111111,0.13,-0.0188888888888889
481,2006-02-24,feeder,0.9398,b90_94,5,35,30,0.142857142857143,0.13,0.0128571428571428
493,2006-02-06,feeder,0.9282,b90_94,4,27,23,0.148148148148148,0.13,0.0181481481481481
664,2006-02-03,feeder,0.9368,b90_94,5,35,30,0.142857142857143,0.13,0.0128571428571428
758,2005-08-19,feeder,0.906,b90_94,3,21,18,0.142857142857143,0.13,0.0128571428571428
765,2005-08-17,feeder,0.9418,b90_94,3,26,23,0.115384615384615,0.13,-0.0146153846153846
785,2005-07-14,feeder,0.7948,b70_79,3,20,17,0.15,0.13,0.02
1079,2005-10-04,feeder,0.9225,b90_94,2,18,16,0.111111111111111,0.13,-0.0188888888888889
1607,2006-10-19,feeder,0.9286,b90_94,4,28,24,0.142857142857143,0.13,0.0128571428571428
1968,2007-09-25,feeder,0.9922,b95_100,7,50,43,0.14,0.13,0.01
2670,2007-07-27,feeder,0.9708,b95_100,3,26,23,0.115384615384615,0.13,-0.0146153846153846
2671,2007-07-27,feeder,0.9708,b95_100,4,28,24,0.142857142857143,0.13,0.0128571428571428
2826,2009-05-11,feeder,0.9536,b95_100,2,19,17,0.105263157894737,0.13,-0.0247368421052632
2828,2008-07-02,feeder,0.9536,b95_100,5,42,37,0.119047619047619,0.13,-0.010952380952381
3221,2009-09-09,feeder,0.9067,b90_94,5,35,30,0.142857142857143,0.13,0.0128571428571428
4858,2011-01-18,feeder,0.9184,b90_94,5,35,30,0.142857142857143,0.13,0.0128571428571428
5211,2010-10-25,feeder,0.9843,b95_100,3,20,17,0.15,0.13,0.02
6004,2012-04-25,feeder,0.8991,b85_89,10,70,60,0.142857142857143,0.13,0.0128571428571428
6097,2011-07-12,feeder,0.9888,b95_100,5,35,30,0.142857142857143,0.13,0.0128571428571428
6242,2012-05-07,feeder,0.9264,b90_94,3,20,17,0.15,0.13,0.02
6896,2012-01-26,feeder,0.8673,b85_89,2,14,12,0.142857142857143,0.13,0.0128571428571428
7523,2013-05-22,feeder,0.97,b95_100,7,50,43,0.14,0.13,0.01
8855,2013-07-01,feeder,0.9294,b90_94,2,13,11,0.153846153846154,0.13,0.0238461538461539
11810,2014-10-24,feeder,0.9873,b95_100,4,34,30,0.117647058823529,0.13,-0.0123529411764706
12908,2015-10-05,feeder,0.8845,b85_89,0,3426,3426,0,0.13,-0.13
12909,2015-12-29,feeder,0.9407,b90_94,3,26,23,0.115384615384615,0.13,-0.0146153846153846
12911,2015-12-09,fed,0.9858,b95_100,0,4049,4049,0,0.13,-0.13
12913,2016-06-03,feeder,0.9645,b95_100,0,481,481,0,0.13,-0.13
12949,2016-05-24,feeder,0.9661,b95_100,0,988,988,0,0.13,-0.13
12951,2016-06-03,feeder,0.9466,b90_94,0,686,686,0,0.13,-0.13
12999,2016-04-12,feeder,0.8818,b85_89,27,119,92,0.226890756302521,0.13,0.096890756302521
13177,2016-01-20,feeder,0.9893,b95_100,0,3384,3384,0,0.13,-0.13
13252,2015-07-20,feeder,0.9942,b95_100,57,839,782,0.067938021454112,0.13,-0.062061978545888
13316,2016-06-16,feeder,0.9962,b95_100,0,3855,3855,0,0.13,-0.13
13336,2015-12-30,feeder,0.9986,b95_100,766,3329,2563,0.230099128867528,0.13,0.100099128867528
13338,2015-12-28,feeder,0.9882,b95_100,890,3868,2978,0.230093071354705,0.13,0.100093071354705
13340,2015-12-07,feeder,0.9995,b95_100,2539,11038,8499,0.230023554991846,0.13,0.100023554991846
13422,2016-01-08,feeder,0.9912,b95_100,0,3393,3393,0,0.13,-0.13
13423,2016-01-11,feeder,0.9949,b95_100,0,2669,2669,0,0.13,-0.13
13437,2016-06-29,feeder,0.9017,b90_94,0,635,635,0,0.13,-0.13
13440,2016-06-29,feeder,0.9017,b90_94,0,572,572,0,0.13,-0.13
13472,2015-07-02,feeder,0.9748,b95_100,343,1674,1331,0.204898446833931,0.13,0.0748984468339307
13499,2016-06-20,feeder,0.9836,b95_100,535,2325,1790,0.23010752688172,0.13,0.10010752688172
13501,2016-06-27,feeder,0.9864,b95_100,545,2372,1827,0.229763912310287,0.13,0.0997639123102867
13569,2015-11-03,feeder,0.9957,b95_100,205,892,687,0.229820627802691,0.13,0.0998206278026906
13571,2016-02-02,feeder,0.9981,b95_100,828,3598,2770,0.230127848804892,0.13,0.100127848804892
13576,2016-01-25,feeder,0.983,b95_100,354,1538,1184,0.230169050715215,0.13,0.100169050715215
13578,2016-01-25,feeder,0.9829,b95_100,122,530,408,0.230188679245283,0.13,0.100188679245283
13581,2015-11-03,feeder,0.9957,b95_100,136,589,453,0.230899830220713,0.13,0.100899830220713
13605,2016-01-22,feeder,0.9377,b90_94,0,682,682,0,0.13,-0.13
13675,2016-01-27,feeder,0.9561,b95_100,0,276,276,0,0.13,-0.13
13679,2016-01-27,feeder,0.9561,b95_100,0,354,354,0,0.13,-0.13
13684,2016-06-14,feeder,0.9325,b90_94,0,692,692,0,0.13,-0.13
13700,2015-09-28,feeder,0.9678,b95_100,0,244,244,0,0.13,-0.13
13710,2016-01-26,feeder,0.8698,b85_89,0,109,109,0,0.13,-0.13
13724,2015-10-19,feeder,0.9132,b90_94,0,58,58,0,0.13,-0.13
13738,2015-12-28,feeder,0.9254,b90_94,82,1264,1182,0.064873417721519,0.13,-0.065126582278481
13740,2015-12-28,feeder,0.9254,b90_94,90,1390,1300,0.0647482014388489,0.13,-0.0652517985611511
13747,2016-06-23,feeder,0.9774,b95_100,0,1838,1838,0,0.13,-0.13
