cattle_type,month,coverage_bin,coverage_label,bin_order,insured_head,endorsements,head_share,endorsement_share
fed,2023-05-01,b70_79,70--79.99%,1,0,0,0,0
fed,2023-05-01,b80_84,80--84.99%,2,0,0,0,0
fed,2023-05-01,b85_89,85--89.99%,3,4563,10,0.102405853045469,0.0286532951289398
fed,2023-05-01,b90_94,90--94.99%,4,3836,34,0.086090039947933,0.0974212034383954
fed,2023-05-01,b95_100,95--100%,5,36159,305,0.811504107006598,0.873925501432665
fed,2023-06-01,b70_79,70--79.99%,1,0,0,0,0
fed,2023-06-01,b80_84,80--84.99%,2,0,0,0,0
fed,2023-06-01,b85_89,85--89.99%,3,620,5,0.0104583101395004,0.0113378684807256
fed,2023-06-01,b90_94,90--94.99%,4,5835,49,0.0984261930064268,0.111111111111111
fed,2023-06-01,b95_100,95--100%,5,52828,387,0.891115496854073,0.877551020408163
fed,2023-08-01,b70_79,70--79.99%,1,0,0,0,0
fed,2023-08-01,b80_84,80--84.99%,2,0,0,0,0
fed,2023-08-01,b85_89,85--89.99%,3,1766,10,0.0315458540245079,0.0285714285714286
fed,2023-08-01,b90_94,90--94.99%,4,9689,54,0.173073487906827,0.154285714285714
fed,2023-08-01,b95_100,95--100%,5,44527,286,0.795380658068665,0.817142857142857
fed,2023-09-01,b70_79,70--79.99%,1,0,0,0,0
fed,2023-09-01,b80_84,80--84.99%,2,0,0,0,0
fed,2023-09-01,b85_89,85--89.99%,3,314,3,0.00246255195670928,0.0047244094488189
fed,2023-09-01,b90_94,90--94.99%,4,11618,97,0.0911144223982433,0.152755905511811
fed,2023-09-01,b95_100,95--100%,5,115578,535,0.906423025645047,0.84251968503937
fed,2024-01-01,b70_79,70--79.99%,1,0,0,0,0
fed,2024-01-01,b80_84,80--84.99%,2,0,0,0,0
fed,2024-01-01,b85_89,85--89.99%,3,558,9,0.00782257612291819,0.0186335403726708
fed,2024-01-01,b90_94,90--94.99%,4,5446,42,0.0763472214433915,0.0869565217391304
fed,2024-01-01,b95_100,95--100%,5,65328,432,0.91583020243369,0.894409937888199
fed,2024-02-01,b70_79,70--79.99%,1,0,0,0,0
fed,2024-02-01,b80_84,80--84.99%,2,0,0,0,0
fed,2024-02-01,b85_89,85--89.99%,3,4406,13,0.0272638392138906,0.0144766146993319
fed,2024-02-01,b90_94,90--94.99%,4,8780,73,0.0543296659777484,0.0812917594654788
fed,2024-02-01,b95_100,95--100%,5,148420,812,0.918406494808361,0.904231625835189
fed,2024-03-01,b70_79,70--79.99%,1,0,0,0,0
fed,2024-03-01,b80_84,80--84.99%,2,0,0,0,0
fed,2024-03-01,b85_89,85--89.99%,3,1278,7,0.00706288063842251,0.00940860215053763
fed,2024-03-01,b90_94,90--94.99%,4,8817,70,0.0487272445923093,0.0940860215053763
fed,2024-03-01,b95_100,95--100%,5,170851,667,0.944209874769268,0.896505376344086
fed,2024-05-01,b70_79,70--79.99%,1,0,0,0,0
fed,2024-05-01,b80_84,80--84.99%,2,0,0,0,0
fed,2024-05-01,b85_89,85--89.99%,3,665,7,0.00906958348108344,0.0148305084745763
fed,2024-05-01,b90_94,90--94.99%,4,15610,62,0.212896538555959,0.13135593220339
fed,2024-05-01,b95_100,95--100%,5,57047,403,0.778033877962958,0.853813559322034
fed,2024-06-01,b70_79,70--79.99%,1,0,0,0,0
fed,2024-06-01,b80_84,80--84.99%,2,0,0,0,0
fed,2024-06-01,b85_89,85--89.99%,3,484,5,0.00769928256685173,0.0161812297734628
fed,2024-06-01,b90_94,90--94.99%,4,3550,25,0.0564720105626521,0.0809061488673139
fed,2024-06-01,b95_100,95--100%,5,58829,279,0.935828706870496,0.902912621359223
fed,2024-07-01,b70_79,70--79.99%,1,0,0,0,0
fed,2024-07-01,b80_84,80--84.99%,2,0,0,0,0
fed,2024-07-01,b85_89,85--89.99%,3,1263,22,0.0174307874906843,0.0522565320665083
fed,2024-07-01,b90_94,90--94.99%,4,11330,34,0.156366446769163,0.0807600950118765
fed,2024-07-01,b95_100,95--100%,5,59865,365,0.826202765740153,0.866983372921615
fed,2024-09-01,b70_79,70--79.99%,1,0,0,0,0
fed,2024-09-01,b80_84,80--84.99%,2,0,0,0,0
fed,2024-09-01,b85_89,85--89.99%,3,1702,11,0.0209872128438783,0.0248306997742664
fed,2024-09-01,b90_94,90--94.99%,4,2933,20,0.0361665659642157,0.0451467268623025
fed,2024-09-01,b95_100,95--100%,5,76462,412,0.942846221191906,0.930022573363431
fed,2024-10-01,b70_79,70--79.99%,1,0,0,0,0
fed,2024-10-01,b80_84,80--84.99%,2,40,1,0.000264709580501492,0.00153846153846154
fed,2024-10-01,b85_89,85--89.99%,3,223,4,0.00147575591129582,0.00615384615384615
fed,2024-10-01,b90_94,90--94.99%,4,3223,23,0.0213289744489077,0.0353846153846154
fed,2024-10-01,b95_100,95--100%,5,147623,622,0.976930560059295,0.956923076923077
fed,2024-11-01,b70_79,70--79.99%,1,0,0,0,0
fed,2024-11-01,b80_84,80--84.99%,2,0,0,0,0
fed,2024-11-01,b85_89,85--89.99%,3,587,4,0.00660173647037654,0.00928074245939675
fed,2024-11-01,b90_94,90--94.99%,4,1809,33,0.0203450447613478,0.0765661252900232
fed,2024-11-01,b95_100,95--100%,5,86520,394,0.973053218768276,0.91415313225058
fed,2024-12-01,b70_79,70--79.99%,1,0,0,0,0
fed,2024-12-01,b80_84,80--84.99%,2,0,0,0,0
fed,2024-12-01,b85_89,85--89.99%,3,691,8,0.00841215928320125,0.0142348754448399
fed,2024-12-01,b90_94,90--94.99%,4,4427,55,0.0538938193150968,0.097864768683274
fed,2024-12-01,b95_100,95--100%,5,77025,499,0.937694021401702,0.887900355871886
fed,2021-09-01,b70_79,70--79.99%,1,0,0,0,0
fed,2021-09-01,b80_84,80--84.99%,2,0,0,0,0
fed,2021-09-01,b85_89,85--89.99%,3,220,3,0.00710961737331955,0.0236220472440945
fed,2021-09-01,b90_94,90--94.99%,4,248,4,0.00801447776628749,0.031496062992126
fed,2021-09-01,b95_100,95--100%,5,30476,120,0.984875904860393,0.944881889763779
fed,2021-12-01,b70_79,70--79.99%,1,0,0,0,0
fed,2021-12-01,b80_84,80--84.99%,2,0,0,0,0
fed,2021-12-01,b85_89,85--89.99%,3,276,2,0.0121994342291372,0.0140845070422535
fed,2021-12-01,b90_94,90--94.99%,4,3646,21,0.161156294200849,0.147887323943662
fed,2021-12-01,b95_100,95--100%,5,18702,119,0.826644271570014,0.838028169014084
fed,2022-01-01,b70_79,70--79.99%,1,0,0,0,0
fed,2022-01-01,b80_84,80--84.99%,2,0,0,0,0
fed,2022-01-01,b85_89,85--89.99%,3,1274,7,0.0177294107823764,0.0334928229665072
fed,2022-01-01,b90_94,90--94.99%,4,1991,12,0.0277074229730858,0.0574162679425837
fed,2022-01-01,b95_100,95--100%,5,68593,190,0.954563166244538,0.909090909090909
fed,2022-03-01,b70_79,70--79.99%,1,0,0,0,0
fed,2022-03-01,b80_84,80--84.99%,2,0,0,0,0
fed,2022-03-01,b85_89,85--89.99%,3,485,3,0.0143262243752585,0.0175438596491228
fed,2022-03-01,b90_94,90--94.99%,4,1935,21,0.0571572044662374,0.12280701754386
fed,2022-03-01,b95_100,95--100%,5,31434,147,0.928516571158504,0.859649122807018
fed,2022-05-01,b70_79,70--79.99%,1,0,0,0,0
fed,2022-05-01,b80_84,80--84.99%,2,0,0,0,0
fed,2022-05-01,b85_89,85--89.99%,3,70,2,0.00412444025453689,0.0235294117647059
fed,2022-05-01,b90_94,90--94.99%,4,1271,4,0.0748880509073769,0.0470588235294118
fed,2022-05-01,b95_100,95--100%,5,15631,79,0.920987508838086,0.929411764705882
fed,2022-06-01,b70_79,70--79.99%,1,0,0,0,0
fed,2022-06-01,b80_84,80--84.99%,2,0,0,0,0
fed,2022-06-01,b85_89,85--89.99%,3,28,2,0.00150464828846257,0.0307692307692308
fed,2022-06-01,b90_94,90--94.99%,4,627,4,0.0336933741737869,0.0615384615384615
fed,2022-06-01,b95_100,95--100%,5,17954,59,0.964801977537751,0.907692307692308
fed,2023-07-01,b70_79,70--79.99%,1,0,0,0,0
fed,2023-07-01,b80_84,80--84.99%,2,0,0,0,0
fed,2023-07-01,b85_89,85--89.99%,3,336,5,0.00247515635474295,0.0130208333333333
fed,2023-07-01,b90_94,90--94.99%,4,7942,67,0.0585050350278823,0.174479166666667
fed,2023-07-01,b95_100,95--100%,5,127471,312,0.939019808617375,0.8125
fed,2023-10-01,b70_79,70--79.99%,1,0,0,0,0
fed,2023-10-01,b80_84,80--84.99%,2,0,0,0,0
fed,2023-10-01,b85_89,85--89.99%,3,301,8,0.00174901363765783,0.0145719489981785
fed,2023-10-01,b90_94,90--94.99%,4,8495,76,0.049361697182403,0.138433515482696
fed,2023-10-01,b95_100,95--100%,5,163301,465,0.948889289179939,0.846994535519126
fed,2023-11-01,b70_79,70--79.99%,1,0,0,0,0
fed,2023-11-01,b80_84,80--84.99%,2,0,0,0,0
fed,2023-11-01,b85_89,85--89.99%,3,1301,12,0.0270753990551706,0.0365853658536585
fed,2023-11-01,b90_94,90--94.99%,4,3972,32,0.082662171442842,0.0975609756097561
fed,2023-11-01,b95_100,95--100%,5,42778,284,0.890262429501988,0.865853658536585
fed,2021-10-01,b70_79,70--79.99%,1,0,0,0,0
fed,2021-10-01,b80_84,80--84.99%,2,0,0,0,0
fed,2021-10-01,b85_89,85--89.99%,3,0,0,0,0
fed,2021-10-01,b90_94,90--94.99%,4,68,1,0.00254510068118871,0.0078740157480315
fed,2021-10-01,b95_100,95--100%,5,26650,126,0.997454899318811,0.992125984251969
fed,2022-02-01,b70_79,70--79.99%,1,0,0,0,0
fed,2022-02-01,b80_84,80--84.99%,2,0,0,0,0
fed,2022-02-01,b85_89,85--89.99%,3,290,3,0.005257147000707,0.00961538461538462
fed,2022-02-01,b90_94,90--94.99%,4,14881,42,0.269764153508692,0.134615384615385
fed,2022-02-01,b95_100,95--100%,5,39992,267,0.724978699490601,0.855769230769231
fed,2015-12-01,b70_79,70--79.99%,1,0,0,0,0
fed,2015-12-01,b80_84,80--84.99%,2,0,0,0,0
fed,2015-12-01,b85_89,85--89.99%,3,0,0,0,0
fed,2015-12-01,b90_94,90--94.99%,4,0,0,0,0
fed,2015-12-01,b95_100,95--100%,5,647,12,1,1
fed,2020-09-01,b70_79,70--79.99%,1,0,0,0,0
fed,2020-09-01,b80_84,80--84.99%,2,0,0,0,0
fed,2020-09-01,b85_89,85--89.99%,3,141,2,0.0161493528805406,0.0416666666666667
fed,2020-09-01,b90_94,90--94.99%,4,304,7,0.0348184629481159,0.145833333333333
fed,2020-09-01,b95_100,95--100%,5,8286,39,0.949032184171343,0.8125
fed,2021-01-01,b70_79,70--79.99%,1,0,0,0,0
fed,2021-01-01,b80_84,80--84.99%,2,0,0,0,0
fed,2021-01-01,b85_89,85--89.99%,3,0,0,0,0
fed,2021-01-01,b90_94,90--94.99%,4,1306,10,0.0992853884749886,0.172413793103448
fed,2021-01-01,b95_100,95--100%,5,11848,48,0.900714611525011,0.827586206896552
fed,2021-07-01,b70_79,70--79.99%,1,0,0,0,0
fed,2021-07-01,b80_84,80--84.99%,2,0,0,0,0
fed,2021-07-01,b85_89,85--89.99%,3,0,0,0,0
fed,2021-07-01,b90_94,90--94.99%,4,603,4,0.0289569727237803,0.043956043956044
fed,2021-07-01,b95_100,95--100%,5,20221,87,0.97104302727622,0.956043956043956
fed,2021-08-01,b70_79,70--79.99%,1,0,0,0,0
fed,2021-08-01,b80_84,80--84.99%,2,0,0,0,0
fed,2021-08-01,b85_89,85--89.99%,3,60,1,0.00122604111324533,0.00462962962962963
fed,2021-08-01,b90_94,90--94.99%,4,1043,16,0.0213126813519147,0.0740740740740741
fed,2021-08-01,b95_100,95--100%,5,47835,199,0.97746127753484,0.921296296296296
fed,2021-11-01,b70_79,70--79.99%,1,0,0,0,0
fed,2021-11-01,b80_84,80--84.99%,2,0,0,0,0
fed,2021-11-01,b85_89,85--89.99%,3,103,3,0.00249606203804677,0.0154639175257732
fed,2021-11-01,b90_94,90--94.99%,4,964,9,0.0233612019871562,0.0463917525773196
fed,2021-11-01,b95_100,95--100%,5,40198,182,0.974142735974797,0.938144329896907
fed,2022-07-01,b70_79,70--79.99%,1,0,0,0,0
fed,2022-07-01,b80_84,80--84.99%,2,0,0,0,0
fed,2022-07-01,b85_89,85--89.99%,3,246,6,0.00570130712895152,0.0491803278688525
