cattle_type,outcome,weighting,event_month,event_reference_month,coefficient,std_error,p_value
feeder,head_share,equal_county_month,-24,-1,-0.0871164723188712,0.101041169315509,0.390007810528345
feeder,head_share,equal_county_month,-23,-1,0.00467483346807534,0.120307239487633,0.969057483298041
feeder,head_share,equal_county_month,-22,-1,-0.118130011425308,0.091423270577638,0.1983704506388
feeder,head_share,equal_county_month,-21,-1,-0.10453498286158,0.0837795085273747,0.21413783236181
feeder,head_share,equal_county_month,-20,-1,-0.095279380127931,0.0845970586079825,0.261910564476573
feeder,head_share,equal_county_month,-19,-1,0.0427384149089809,0.110140058864605,0.698557757830468
feeder,head_share,equal_county_month,-18,-1,-0.0877312786238241,0.0811286639048092,0.281321328230403
feeder,head_share,equal_county_month,-17,-1,-0.118707336324568,0.0749771302566438,0.115543811799225
feeder,head_share,equal_county_month,-16,-1,-0.0799981405465596,0.0724866686233639,0.271583773894467
feeder,head_share,equal_county_month,-15,-1,-0.0919190193879003,0.0642376749652141,0.154604571641291
feeder,head_share,equal_county_month,-14,-1,-0.109708992843565,0.0575622540243303,0.0586396466034336
feeder,head_share,equal_county_month,-13,-1,-0.122058007066283,0.051618520455334,0.0193736222218513
feeder,head_share,equal_county_month,-12,-1,-0.152922889584499,0.0475845913871785,0.00161503332860656
feeder,head_share,equal_county_month,-11,-1,-0.128647078911723,0.0505633465942315,0.0119972106178092
feeder,head_share,equal_county_month,-10,-1,-0.132521588808957,0.0452447387630441,0.00395088705481266
feeder,head_share,equal_county_month,-9,-1,-0.137277092380014,0.0394168468669924,0.000656439590451438
feeder,head_share,equal_county_month,-8,-1,-0.106723538717354,0.0401724975923099,0.00877684881585377
feeder,head_share,equal_county_month,-7,-1,-0.0977529440692983,0.0365633334465338,0.00836685095930367
feeder,head_share,equal_county_month,-6,-1,-0.131136827698372,0.0361915992268959,0.000401471211480971
feeder,head_share,equal_county_month,-5,-1,-0.105742145779581,0.0251132262118342,4.44942670157895e-05
feeder,head_share,equal_county_month,-4,-1,-0.12121940644605,0.0280700497028201,2.89753853943527e-05
feeder,head_share,equal_county_month,-3,-1,-0.11111390855597,0.0198779020313554,1.09372049255655e-07
feeder,head_share,equal_county_month,-2,-1,-0.164496850434876,0.032433678077478,1.18624177892531e-06
feeder,head_share,equal_county_month,0,-1,-0.164376433898901,0.0222822459532514,1.15042848169003e-11
feeder,head_share,equal_county_month,1,-1,-0.153506657813346,0.0481058039608004,0.00173820349659313
feeder,head_share,equal_county_month,2,-1,0.00924168895036339,0.06279781589446,0.883205604578006
feeder,head_share,equal_county_month,3,-1,-0.103811039785013,0.033283348178561,0.00218942670750172
feeder,head_share,equal_county_month,4,-1,-0.0754922928377558,0.0339828557519511,0.0278682183132128
feeder,head_share,equal_county_month,5,-1,-0.124855545305049,0.0407019411497815,0.00257579817676729
feeder,head_share,equal_county_month,6,-1,-0.111718732698097,0.040586178495297,0.00666786947270174
feeder,head_share,equal_county_month,7,-1,-0.122760174605272,0.0465448015857641,0.00926402473091068
feeder,head_share,equal_county_month,8,-1,-0.0320140067215737,0.065141398833675,0.623848407806317
feeder,head_share,equal_county_month,9,-1,-0.116825630258919,0.0680901511417875,0.0883437946930536
feeder,head_share,equal_county_month,10,-1,-0.0804405437217368,0.0688102398230679,0.244313816073654
feeder,head_share,equal_county_month,11,-1,-0.124020352296195,0.0613891009140218,0.0452006077409311
feeder,head_share,volume_weighted,-24,-1,-0.329212792400235,0.202739979326868,0.106586648597702
feeder,head_share,volume_weighted,-23,-1,-0.292766217553239,0.209245064691972,0.163902112297353
feeder,head_share,volume_weighted,-22,-1,-0.325400781525799,0.180393892107781,0.0733331001888219
feeder,head_share,volume_weighted,-21,-1,-0.297532448876688,0.174033995391289,0.0894748220438646
feeder,head_share,volume_weighted,-20,-1,-0.30110898309711,0.162977955671562,0.0667060329816857
feeder,head_share,volume_weighted,-19,-1,-0.192591756847524,0.208360745788224,0.356856018416626
feeder,head_share,volume_weighted,-18,-1,-0.212624943812348,0.167374322948395,0.205992515907102
feeder,head_share,volume_weighted,-17,-1,-0.267375809234976,0.140085945243623,0.0582825153156446
feeder,head_share,volume_weighted,-16,-1,-0.268781696832474,0.18271898739208,0.143454891563421
feeder,head_share,volume_weighted,-15,-1,-0.28777176427158,0.133224782506612,0.0324125939759544
feeder,head_share,volume_weighted,-14,-1,-0.326384234333512,0.125569981418295,0.0103093552679131
feeder,head_share,volume_weighted,-13,-1,-0.237320002134037,0.097588061542834,0.0162408181918325
feeder,head_share,volume_weighted,-12,-1,-0.261922411158669,0.0962926181916858,0.00732517648641932
feeder,head_share,volume_weighted,-11,-1,-0.273535961928436,0.100075067985602,0.00705112727229949
feeder,head_share,volume_weighted,-10,-1,-0.220235949812879,0.0840984175314737,0.0097619316870146
feeder,head_share,volume_weighted,-9,-1,-0.206560926731333,0.0666441647915025,0.002329423792576
feeder,head_share,volume_weighted,-8,-1,-0.148485392689123,0.060592393818933,0.0154532819630933
feeder,head_share,volume_weighted,-7,-1,-0.173218874298795,0.0518921096663395,0.00107221485729362
feeder,head_share,volume_weighted,-6,-1,-0.183809507587082,0.0440904023482386,5.241332261672e-05
feeder,head_share,volume_weighted,-5,-1,-0.154587740665097,0.0369664625804621,4.98263902147128e-05
feeder,head_share,volume_weighted,-4,-1,-0.159740291186303,0.0454871977123148,0.000593730892993666
feeder,head_share,volume_weighted,-3,-1,-0.146926292164518,0.0226531920409068,1.30103321241723e-09
feeder,head_share,volume_weighted,-2,-1,-0.158309842475951,0.0260999636005323,1.08825178177561e-08
feeder,head_share,volume_weighted,0,-1,-0.117195626364566,0.0420550442093237,0.00603754945888388
feeder,head_share,volume_weighted,1,-1,-0.0321274050432331,0.0944042500692128,0.734110068706153
feeder,head_share,volume_weighted,2,-1,0.0758559684614233,0.11512559143713,0.511006538585544
feeder,head_share,volume_weighted,3,-1,-0.0644219048949914,0.0613709831553994,0.295596603210612
feeder,head_share,volume_weighted,4,-1,-0.00315039020922174,0.0817297626432723,0.969305036806274
feeder,head_share,volume_weighted,5,-1,-0.0338973861772746,0.0955774431928623,0.72336046618002
feeder,head_share,volume_weighted,6,-1,-0.0470453551503619,0.072273058278817,0.516116049947702
feeder,head_share,volume_weighted,7,-1,-0.0126830355305185,0.0888428012449741,0.8866793588512
feeder,head_share,volume_weighted,8,-1,0.0782609224325267,0.109995150066028,0.477921045941024
feeder,head_share,volume_weighted,9,-1,0.0955043357550266,0.102225041592507,0.351725174810955
feeder,head_share,volume_weighted,10,-1,-0.00364519627875208,0.10476286077663,0.972291269774036
feeder,head_share,volume_weighted,11,-1,-0.00556538403008321,0.120657575130814,0.963273732645646
feeder,endorsement_share,equal_county_month,-24,-1,-0.0512584090970759,0.10153013968918,0.61442426867364
feeder,endorsement_share,equal_county_month,-23,-1,0.037109849827755,0.12126756350661,0.760031170549563
feeder,endorsement_share,equal_county_month,-22,-1,-0.0936774785928161,0.0908917771059625,0.304421727018722
feeder,endorsement_share,equal_county_month,-21,-1,-0.0809216905366072,0.0821407506901774,0.326187039919333
feeder,endorsement_share,equal_county_month,-20,-1,-0.0699200330197684,0.0846395804596689,0.410109411956822
feeder,endorsement_share,equal_county_month,-19,-1,0.0712293852820848,0.11021889789742,0.519136516439286
feeder,endorsement_share,equal_county_month,-18,-1,-0.0783163190544599,0.0790011787980591,0.323175367752385
feeder,endorsement_share,equal_county_month,-17,-1,-0.0905017870200146,0.0752000377680256,0.230751545597808
feeder,endorsement_share,equal_county_month,-16,-1,-0.0626097872524524,0.0720492664304977,0.386291012575128
feeder,endorsement_share,equal_county_month,-15,-1,-0.0701401382296805,0.0633671335650091,0.270176506930575
feeder,endorsement_share,equal_county_month,-14,-1,-0.0903525396710602,0.0572296288776525,0.116567430236983
