cattle_type,outcome,design,window_months,fe_setup,event_time,coefficient,std_error,p_value
feeder,any_lrp,stacked_local_full_county_month_eventstudy,6,stack_county_plus_stack_month,-6,0.0235517722244756,0.0125623768173802,0.0610893628362044
feeder,any_lrp,stacked_local_full_county_month_eventstudy,6,stack_county_plus_stack_month,-5,0.0186217645391498,0.0134360341084004,0.166043525596726
feeder,any_lrp,stacked_local_full_county_month_eventstudy,6,stack_county_plus_stack_month,-4,0.0119652563634085,0.0130347758083215,0.358848757545954
feeder,any_lrp,stacked_local_full_county_month_eventstudy,6,stack_county_plus_stack_month,-3,0.0311427119514717,0.0134626280841603,0.0208931339478553
feeder,any_lrp,stacked_local_full_county_month_eventstudy,6,stack_county_plus_stack_month,-2,0.0143444941524915,0.0133117162029608,0.281457807623178
feeder,any_lrp,stacked_local_full_county_month_eventstudy,6,stack_county_plus_stack_month,0,0.11816174960282,0.0201744832315379,6.23432943886074e-09
feeder,any_lrp,stacked_local_full_county_month_eventstudy,6,stack_county_plus_stack_month,1,0.116355009584513,0.0198276189174321,5.83483344155399e-09
feeder,any_lrp,stacked_local_full_county_month_eventstudy,6,stack_county_plus_stack_month,2,0.0265371120694154,0.0168187504169773,0.114895052193272
feeder,any_lrp,stacked_local_full_county_month_eventstudy,6,stack_county_plus_stack_month,3,0.0475186892754211,0.0169926687596818,0.00525800618389515
feeder,any_lrp,stacked_local_full_county_month_eventstudy,6,stack_county_plus_stack_month,4,0.11929850110557,0.0213245188166755,2.79826521225015e-08
feeder,any_lrp,stacked_local_full_county_month_eventstudy,6,stack_county_plus_stack_month,5,0.130781870507662,0.0224794525210737,7.82899175377072e-09
feeder,insured_head,stacked_local_full_county_month_eventstudy,6,stack_county_plus_stack_month,-6,0.618831913756058,0.783654317182111,0.429717825608532
feeder,insured_head,stacked_local_full_county_month_eventstudy,6,stack_county_plus_stack_month,-5,-0.373150629531567,0.559979007637406,0.505177579207852
feeder,insured_head,stacked_local_full_county_month_eventstudy,6,stack_county_plus_stack_month,-4,-0.827256597354358,0.764859496061678,0.279439274646633
feeder,insured_head,stacked_local_full_county_month_eventstudy,6,stack_county_plus_stack_month,-3,-0.827983518575794,1.04328734584812,0.427411207103565
feeder,insured_head,stacked_local_full_county_month_eventstudy,6,stack_county_plus_stack_month,-2,-1.14130705197459,0.807541658952754,0.157564467612781
feeder,insured_head,stacked_local_full_county_month_eventstudy,6,stack_county_plus_stack_month,0,-0.997986165354051,0.618291138468289,0.106504881984763
feeder,insured_head,stacked_local_full_county_month_eventstudy,6,stack_county_plus_stack_month,1,-0.955097393417619,0.608231575382059,0.116348641021383
feeder,insured_head,stacked_local_full_county_month_eventstudy,6,stack_county_plus_stack_month,2,-1.73154426839531,0.650970642316894,0.00781540672974416
feeder,insured_head,stacked_local_full_county_month_eventstudy,6,stack_county_plus_stack_month,3,-1.80935357426473,0.735953536197964,0.0139512543789182
feeder,insured_head,stacked_local_full_county_month_eventstudy,6,stack_county_plus_stack_month,4,-1.34292277130415,0.57680544219262,0.0199010867762083
feeder,insured_head,stacked_local_full_county_month_eventstudy,6,stack_county_plus_stack_month,5,-1.48243660376451,0.603802542632433,0.014081881089069
feeder,endorsements,stacked_local_full_county_month_eventstudy,6,stack_county_plus_stack_month,-6,0.747136402626768,0.840747132991421,0.374187077929153
feeder,endorsements,stacked_local_full_county_month_eventstudy,6,stack_county_plus_stack_month,-5,-0.524297877507995,0.473701926014182,0.26837622184872
feeder,endorsements,stacked_local_full_county_month_eventstudy,6,stack_county_plus_stack_month,-4,-0.803936916080047,0.523909853795204,0.124907985739389
feeder,endorsements,stacked_local_full_county_month_eventstudy,6,stack_county_plus_stack_month,-3,-0.619357290133463,0.881923050331687,0.482504301561449
feeder,endorsements,stacked_local_full_county_month_eventstudy,6,stack_county_plus_stack_month,-2,-0.559781869820748,0.801140685822477,0.484720127726741
feeder,endorsements,stacked_local_full_county_month_eventstudy,6,stack_county_plus_stack_month,0,-0.673292003873465,0.577526807052097,0.243687438099126
feeder,endorsements,stacked_local_full_county_month_eventstudy,6,stack_county_plus_stack_month,1,-0.519702576974472,0.573945680166757,0.365205391130981
feeder,endorsements,stacked_local_full_county_month_eventstudy,6,stack_county_plus_stack_month,2,-1.0729170249492,0.541307809514519,0.0474699481797148
feeder,endorsements,stacked_local_full_county_month_eventstudy,6,stack_county_plus_stack_month,3,-1.0362138891643,0.550855167541562,0.0599582593620304
feeder,endorsements,stacked_local_full_county_month_eventstudy,6,stack_county_plus_stack_month,4,-0.812381198137442,0.520889752084296,0.118853737070417
feeder,endorsements,stacked_local_full_county_month_eventstudy,6,stack_county_plus_stack_month,5,-0.845922858567212,0.571343437047263,0.138717038208033
fed,any_lrp,stacked_local_full_county_month_eventstudy,6,stack_county_plus_stack_month,-6,0.103904508486925,0.0572448488172536,0.0703241114952698
fed,any_lrp,stacked_local_full_county_month_eventstudy,6,stack_county_plus_stack_month,-5,-7.17238768377371e-14,1.00000000000355e-08,0.999994281149007
fed,any_lrp,stacked_local_full_county_month_eventstudy,6,stack_county_plus_stack_month,-4,0.0198523112495339,0.019201100010134,0.301854720135088
fed,any_lrp,stacked_local_full_county_month_eventstudy,6,stack_county_plus_stack_month,-3,-7.1727346284689e-14,1.00000000000355e-08,0.999994280872373
fed,any_lrp,stacked_local_full_county_month_eventstudy,6,stack_county_plus_stack_month,-2,0.0198523112495339,0.019201100010145,0.301854720135364
fed,any_lrp,stacked_local_full_county_month_eventstudy,6,stack_county_plus_stack_month,0,0.159483656296517,0.0723106316137904,0.028034204043802
fed,any_lrp,stacked_local_full_county_month_eventstudy,6,stack_county_plus_stack_month,1,0.110992004044177,0.0652199976242497,0.0896356922574781
fed,any_lrp,stacked_local_full_county_month_eventstudy,6,stack_county_plus_stack_month,2,0.182784262817398,0.0736290578848654,0.0134914930776091
