fips,cattle_type,event_name,event_delta_head_10pp,event_delta_endorsement_10pp
6025,fed,pm19_coverage_dependent,0,0
6029,fed,pm19_coverage_dependent,0,0
8009,fed,pm19_coverage_dependent,0,0
8011,fed,pm19_coverage_dependent,0,0
8063,fed,pm19_coverage_dependent,0,0
8075,fed,pm19_coverage_dependent,0,0
8087,fed,pm19_coverage_dependent,0,0
8095,fed,pm19_coverage_dependent,0,0
8099,fed,pm19_coverage_dependent,0,0
8121,fed,pm19_coverage_dependent,0,0
8123,fed,pm19_coverage_dependent,0,0
8125,fed,pm19_coverage_dependent,0,0
16031,fed,pm19_coverage_dependent,0,0
16051,fed,pm19_coverage_dependent,0,0
16053,fed,pm19_coverage_dependent,0,0
17001,fed,pm19_coverage_dependent,0.872413793103448,0.95
17015,fed,pm19_coverage_dependent,0,0
17029,fed,pm19_coverage_dependent,0,0
17037,fed,pm19_coverage_dependent,0,0
17041,fed,pm19_coverage_dependent,0,0
17049,fed,pm19_coverage_dependent,0,0
17067,fed,pm19_coverage_dependent,0,0
17073,fed,pm19_coverage_dependent,0,0
17075,fed,pm19_coverage_dependent,0,0
17081,fed,pm19_coverage_dependent,0,0
17085,fed,pm19_coverage_dependent,0,0
17099,fed,pm19_coverage_dependent,0,0
17105,fed,pm19_coverage_dependent,0,0
17109,fed,pm19_coverage_dependent,0,0
17131,fed,pm19_coverage_dependent,0,0
17141,fed,pm19_coverage_dependent,0,0
17173,fed,pm19_coverage_dependent,0,0
17177,fed,pm19_coverage_dependent,0,0
17187,fed,pm19_coverage_dependent,0,0
17195,fed,pm19_coverage_dependent,0,0
18017,fed,pm19_coverage_dependent,0,0
18031,fed,pm19_coverage_dependent,0,0
18159,fed,pm19_coverage_dependent,0,0
19001,fed,pm19_coverage_dependent,0,0
19005,fed,pm19_coverage_dependent,0,0
19009,fed,pm19_coverage_dependent,0,0
19011,fed,pm19_coverage_dependent,0,0
19013,fed,pm19_coverage_dependent,0,0
19017,fed,pm19_coverage_dependent,0,0
19019,fed,pm19_coverage_dependent,0,0
19021,fed,pm19_coverage_dependent,0,0
19023,fed,pm19_coverage_dependent,0,0
19025,fed,pm19_coverage_dependent,0,0
19027,fed,pm19_coverage_dependent,0,0
19029,fed,pm19_coverage_dependent,0,0
19035,fed,pm19_coverage_dependent,0,0
19037,fed,pm19_coverage_dependent,0,0
19043,fed,pm19_coverage_dependent,0,0
19045,fed,pm19_coverage_dependent,0,0
19047,fed,pm19_coverage_dependent,0,0
19049,fed,pm19_coverage_dependent,0,0
19051,fed,pm19_coverage_dependent,0,0
19053,fed,pm19_coverage_dependent,0,0
19055,fed,pm19_coverage_dependent,0,0
19059,fed,pm19_coverage_dependent,0,0
19061,fed,pm19_coverage_dependent,0,0
19063,fed,pm19_coverage_dependent,0,0
19065,fed,pm19_coverage_dependent,0,0
19067,fed,pm19_coverage_dependent,0,0
19069,fed,pm19_coverage_dependent,0,0
19071,fed,pm19_coverage_dependent,0,0
19075,fed,pm19_coverage_dependent,0,0
19077,fed,pm19_coverage_dependent,0,0
19081,fed,pm19_coverage_dependent,0,0
19083,fed,pm19_coverage_dependent,0,0
19087,fed,pm19_coverage_dependent,0,0
19089,fed,pm19_coverage_dependent,0,0
19093,fed,pm19_coverage_dependent,0,0
19095,fed,pm19_coverage_dependent,0,0
19097,fed,pm19_coverage_dependent,0,0
19099,fed,pm19_coverage_dependent,0,0
19101,fed,pm19_coverage_dependent,0,0
19103,fed,pm19_coverage_dependent,0,0
19105,fed,pm19_coverage_dependent,0,0
19107,fed,pm19_coverage_dependent,0,0
19109,fed,pm19_coverage_dependent,0,0
19113,fed,pm19_coverage_dependent,0,0
19119,fed,pm19_coverage_dependent,0,0
19121,fed,pm19_coverage_dependent,0,0
19123,fed,pm19_coverage_dependent,0,0
19125,fed,pm19_coverage_dependent,0,0
19127,fed,pm19_coverage_dependent,0,0
19131,fed,pm19_coverage_dependent,0,0
19141,fed,pm19_coverage_dependent,0,0
19143,fed,pm19_coverage_dependent,0,0
19145,fed,pm19_coverage_dependent,0,0
19147,fed,pm19_coverage_dependent,0,0
19149,fed,pm19_coverage_dependent,0,0
19151,fed,pm19_coverage_dependent,0,0
19155,fed,pm19_coverage_dependent,0,0
19157,fed,pm19_coverage_dependent,0,0
19159,fed,pm19_coverage_dependent,0,0
19161,fed,pm19_coverage_dependent,0,0
19163,fed,pm19_coverage_dependent,0,0
19165,fed,pm19_coverage_dependent,0,0
19167,fed,pm19_coverage_dependent,0,0
19169,fed,pm19_coverage_dependent,0,0
19171,fed,pm19_coverage_dependent,0,0
19179,fed,pm19_coverage_dependent,0,0
19183,fed,pm19_coverage_dependent,0,0
19187,fed,pm19_coverage_dependent,0,0
19191,fed,pm19_coverage_dependent,0.7,0.7
19193,fed,pm19_coverage_dependent,0,0
19197,fed,pm19_coverage_dependent,0,0
20003,fed,pm19_coverage_dependent,0,0
20007,fed,pm19_coverage_dependent,0,0
20009,fed,pm19_coverage_dependent,0,0
20015,fed,pm19_coverage_dependent,0,0
20017,fed,pm19_coverage_dependent,0,0
20025,fed,pm19_coverage_dependent,0,0
20027,fed,pm19_coverage_dependent,0,0
20037,fed,pm19_coverage_dependent,0,0
20041,fed,pm19_coverage_dependent,0,0
20047,fed,pm19_coverage_dependent,0,0
20055,fed,pm19_coverage_dependent,0,0
20057,fed,pm19_coverage_dependent,0,0
20059,fed,pm19_coverage_dependent,0,0
20063,fed,pm19_coverage_dependent,0,0
20067,fed,pm19_coverage_dependent,0,0
20069,fed,pm19_coverage_dependent,0,0
20077,fed,pm19_coverage_dependent,0,0
20079,fed,pm19_coverage_dependent,0,0
20081,fed,pm19_coverage_dependent,0,0
20083,fed,pm19_coverage_dependent,0,0
20085,fed,pm19_coverage_dependent,0,0
20089,fed,pm19_coverage_dependent,0,0
20093,fed,pm19_coverage_dependent,0,0
20095,fed,pm19_coverage_dependent,0,0
20097,fed,pm19_coverage_dependent,0,0
20109,fed,pm19_coverage_dependent,0,0
20111,fed,pm19_coverage_dependent,0,0
20113,fed,pm19_coverage_dependent,0,0
20115,fed,pm19_coverage_dependent,0,0
20117,fed,pm19_coverage_dependent,0.7,0.7
20119,fed,pm19_coverage_dependent,0,0
20123,fed,pm19_coverage_dependent,0,0
20127,fed,pm19_coverage_dependent,0,0
20131,fed,pm19_coverage_dependent,0,0
20137,fed,pm19_coverage_dependent,0,0
20145,fed,pm19_coverage_dependent,0,0
20147,fed,pm19_coverage_dependent,0,0
20151,fed,pm19_coverage_dependent,0,0
20157,fed,pm19_coverage_dependent,0,0
20159,fed,pm19_coverage_dependent,0,0
20163,fed,pm19_coverage_dependent,0,0
20171,fed,pm19_coverage_dependent,0,0
20175,fed,pm19_coverage_dependent,0,0
20185,fed,pm19_coverage_dependent,0,0
20187,fed,pm19_coverage_dependent,0,0
20189,fed,pm19_coverage_dependent,0,0
20193,fed,pm19_coverage_dependent,0,0
20201,fed,pm19_coverage_dependent,1.2,1.2
20207,fed,pm19_coverage_dependent,0,0
27009,fed,pm19_coverage_dependent,0,0
27013,fed,pm19_coverage_dependent,0,0
27015,fed,pm19_coverage_dependent,0,0
27019,fed,pm19_coverage_dependent,0,0
27033,fed,pm19_coverage_dependent,0,0
27037,fed,pm19_coverage_dependent,0,0
27039,fed,pm19_coverage_dependent,0,0
27041,fed,pm19_coverage_dependent,0,0
27045,fed,pm19_coverage_dependent,0,0
27049,fed,pm19_coverage_dependent,0,0
27055,fed,pm19_coverage_dependent,0,0
27073,fed,pm19_coverage_dependent,0,0
27079,fed,pm19_coverage_dependent,0,0
27081,fed,pm19_coverage_dependent,0,0
27083,fed,pm19_coverage_dependent,0,0
27085,fed,pm19_coverage_dependent,0,0
27093,fed,pm19_coverage_dependent,0,0
27097,fed,pm19_coverage_dependent,0,0
27099,fed,pm19_coverage_dependent,0,0
27101,fed,pm19_coverage_dependent,0,0
27103,fed,pm19_coverage_dependent,0,0
27105,fed,pm19_coverage_dependent,0,0
27109,fed,pm19_coverage_dependent,0,0
27111,fed,pm19_coverage_dependent,0,0
27117,fed,pm19_coverage_dependent,0,0
27121,fed,pm19_coverage_dependent,0,0
27127,fed,pm19_coverage_dependent,0,0
27129,fed,pm19_coverage_dependent,0,0
27131,fed,pm19_coverage_dependent,0,0
27133,fed,pm19_coverage_dependent,0,0
27143,fed,pm19_coverage_dependent,0,0
27145,fed,pm19_coverage_dependent,0.7,0.7
27147,fed,pm19_coverage_dependent,0,0
27149,fed,pm19_coverage_dependent,0,0
27151,fed,pm19_coverage_dependent,0,0
27153,fed,pm19_coverage_dependent,0,0
27157,fed,pm19_coverage_dependent,0,0
27167,fed,pm19_coverage_dependent,0,0
27169,fed,pm19_coverage_dependent,0,0
27171,fed,pm19_coverage_dependent,0,0
27173,fed,pm19_coverage_dependent,0,0
28031,fed,pm19_coverage_dependent,0,0
