cattle_type,outcome,design,window_months,fe_setup,term,coefficient,std_error,p_value,nobs,status
feeder,any_lrp,stacked_local_full_county_month,6,stack_county_plus_stack_month,post_delta_head_10pp,0.0765044888190365,0.0109660797597763,5.24289733431526e-12,26184,estimated
feeder,any_lrp,stacked_local_full_county_month,6,stack_county_plus_stack_state_month,post_delta_head_10pp,0.0645309973349412,0.0112436289486581,1.2324831208281e-08,26064,estimated
feeder,insured_head,stacked_local_full_county_month,6,stack_county_plus_stack_month,post_delta_head_10pp,-0.977040528690253,0.390664598362007,0.012385359062762,4236,estimated
feeder,insured_head,stacked_local_full_county_month,6,stack_county_plus_stack_state_month,post_delta_head_10pp,-0.767847150343647,0.517804043462968,0.138103273179266,3127,estimated
feeder,endorsements,stacked_local_full_county_month,6,stack_county_plus_stack_month,post_delta_endorsement_10pp,-0.544836362378602,0.326421569837227,0.0950938482336948,4236,estimated
feeder,endorsements,stacked_local_full_county_month,6,stack_county_plus_stack_state_month,post_delta_endorsement_10pp,-0.452524303613815,0.375518906955919,0.228178608857987,3127,estimated
fed,any_lrp,stacked_local_full_county_month,6,stack_county_plus_stack_month,post_delta_head_10pp,0.0953919688726985,0.0408448172368836,0.0200554149262996,8856,estimated
fed,any_lrp,stacked_local_full_county_month,6,stack_county_plus_stack_state_month,post_delta_head_10pp,0.096093921442681,0.0390822984486193,0.0144092226328297,8712,estimated
fed,insured_head,stacked_local_full_county_month,6,stack_county_plus_stack_month,post_delta_head_10pp,-2.97674649894552,0.764278453848292,9.82613399315458e-05,462,estimated
fed,insured_head,stacked_local_full_county_month,6,stack_county_plus_stack_state_month,post_delta_head_10pp,-1.51858056306917,0.723601724454557,0.0358485206719652,308,estimated
fed,endorsements,stacked_local_full_county_month,6,stack_county_plus_stack_month,post_delta_endorsement_10pp,-1.56916557158874,0.63576540678508,0.0135812688867332,462,estimated
fed,endorsements,stacked_local_full_county_month,6,stack_county_plus_stack_state_month,post_delta_endorsement_10pp,-0.968954709721928,0.646993794909707,0.134230455505424,308,estimated
feeder,any_lrp,stacked_local_full_county_month,12,stack_county_plus_stack_month,post_delta_head_10pp,0.0942306313371651,0.00910359594010066,5.14505683386516e-24,52368,estimated
feeder,any_lrp,stacked_local_full_county_month,12,stack_county_plus_stack_state_month,post_delta_head_10pp,0.0778056633295513,0.0100104259492392,1.77913886508164e-14,52128,estimated
feeder,insured_head,stacked_local_full_county_month,12,stack_county_plus_stack_month,post_delta_head_10pp,-1.30399129470917,0.244072835501159,9.16067138159637e-08,12048,estimated
feeder,insured_head,stacked_local_full_county_month,12,stack_county_plus_stack_state_month,post_delta_head_10pp,-1.28597028543387,0.318266493380967,5.33269903498685e-05,8945,estimated
feeder,endorsements,stacked_local_full_county_month,12,stack_county_plus_stack_month,post_delta_endorsement_10pp,-1.13185809205567,0.203753542362248,2.77555884629208e-08,12048,estimated
feeder,endorsements,stacked_local_full_county_month,12,stack_county_plus_stack_state_month,post_delta_endorsement_10pp,-1.03750995535914,0.243033399057827,1.96349911609698e-05,8945,estimated
fed,any_lrp,stacked_local_full_county_month,12,stack_county_plus_stack_month,post_delta_head_10pp,0.0464752372225099,0.026636093962529,0.0818506716570553,17712,estimated
fed,any_lrp,stacked_local_full_county_month,12,stack_county_plus_stack_state_month,post_delta_head_10pp,0.0509859762953409,0.0261539444771753,0.0520128102039078,17424,estimated
fed,insured_head,stacked_local_full_county_month,12,stack_county_plus_stack_month,post_delta_head_10pp,-2.71939193620743,0.51143195600124,1.05369499204057e-07,1696,estimated
fed,insured_head,stacked_local_full_county_month,12,stack_county_plus_stack_state_month,post_delta_head_10pp,-2.27161653936778,0.645070111764086,0.00042910729638687,1012,estimated
fed,endorsements,stacked_local_full_county_month,12,stack_county_plus_stack_month,post_delta_endorsement_10pp,-1.96705627363957,0.426378209414101,3.96121290476431e-06,1696,estimated
fed,endorsements,stacked_local_full_county_month,12,stack_county_plus_stack_state_month,post_delta_endorsement_10pp,-1.87902328466687,0.584453840152378,0.00130441265600666,1012,estimated
